# 
# Name:          ITC Zapf Dingbats encoding, Unicode values, and
#                glyph names
# Table version: 1.0
# Date:          17 July 1997
# 
# Version of ITC Zapf Dingbats:
# 
#   ITC Zapf Dingbats (PostScript FontName: ZapfDingbats) contains 202
#   of the 379 glyphs in PCL Zapf Dingbats. 
# 
#   Versions of ZapfDingbats previous to 002.000 do not encode 14 out of the
#   202 available glyphs in their PostScript encoding (though these 14 glyphs
#   can be accessed on the Macintosh due to the FOND's reencoding of the
#   glyphs). ZapfDingbats version 002.000 encodes all of the 202 glyphs in its
#   PostScript encoding.
# 
# Unicode encoding of ZapfDingbats:
# 
#   The 188 glyphs in the PostScript encoding of versions of ZapfDingbats
#   previous to 002.000 have regular Unicode values (160 in the Dingbats block
#   and 28 in other blocks). The remaining 14 glyphs have been assigned
#   Unicode values in the Corporate Use subarea, and coincide exactly with
#   Apple's MacOS Dingbats assignments in that area.
# 
# Format: Four tab-separated columns:
# 
#   (1) The PostScript encoding. (2 uppercase hexadecimal digits)
#       202 code points are defined.
#       Source: Adobe Systems.
# 
#   (2) The Unicode value. (4 uppercase hexadecimal digits)
#       The 14 glyphs at code points 0x80-8D have Corporate Use subarea
#       values.
#       Source: ftp://unicode.org/pub/UNIX/MAPPINGS/VENDORS/APPLE/DINGBAT.TXT
#               [as of 25 February 1997]
# 
#   (3) The glyph name. (upper- and lowercase letters, digits)
#       Source: Adobe Systems.
# 
#   (4) The Unicode 2.0 character name. (uppercase letters, hyphen, space)
#       Source: The Unicode Standard, Version 2.0
# 
#       The 14 Corporate Use subarea glyphs obviously don't have a
#       Unicode 2.0 character name. A descriptive name (in lowercase
#       letters) taken from the source for (2) above is used instead.
# 
# The entries are in PostScript encoding order.
# 
# Lines starting with "#" are comments; blank lines are to be ignored.
# 

20;0020;space;SPACE
B2;2466;a126;CIRCLED DIGIT SEVEN
B3;2467;a127;CIRCLED DIGIT EIGHT
B4;2468;a128;CIRCLED DIGIT NINE
B5;2469;a129;CIRCLED NUMBER TEN
B6;2776;a130;DINGBAT NEGATIVE CIRCLED DIGIT ONE
B7;2777;a131;DINGBAT NEGATIVE CIRCLED DIGIT TWO
B8;2778;a132;DINGBAT NEGATIVE CIRCLED DIGIT THREE
B9;2779;a133;DINGBAT NEGATIVE CIRCLED DIGIT FOUR
BA;277A;a134;DINGBAT NEGATIVE CIRCLED DIGIT FIVE
BB;277B;a135;DINGBAT NEGATIVE CIRCLED DIGIT SIX
BC;277C;a136;DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
BD;277D;a137;DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
BE;277E;a138;DINGBAT NEGATIVE CIRCLED DIGIT NINE
BF;277F;a139;DINGBAT NEGATIVE CIRCLED NUMBER TEN
C0;2780;a140;DINGBAT CIRCLED SANS-SERIF DIGIT ONE
C1;2781;a141;DINGBAT CIRCLED SANS-SERIF DIGIT TWO
C2;2782;a142;DINGBAT CIRCLED SANS-SERIF DIGIT THREE
C3;2783;a143;DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
C4;2784;a144;DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
C5;2785;a145;DINGBAT CIRCLED SANS-SERIF DIGIT SIX
C6;2786;a146;DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
C7;2787;a147;DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
C8;2788;a148;DINGBAT CIRCLED SANS-SERIF DIGIT NINE
C9;2789;a149;DINGBAT CIRCLED SANS-SERIF NUMBER TEN
CA;278A;a150;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
CB;278B;a151;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
CC;278C;a152;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
CD;278D;a153;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
CE;278E;a154;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
CF;278F;a155;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
D0;2790;a156;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
D1;2791;a157;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
D2;2792;a158;DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
D3;2793;a159;DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
D4;2794;a160;HEAVY WIDE-HEADED RIGHTWARDS ARROW
D5;2192;a161;RIGHTWARDS ARROW
D6;2194;a163;LEFT RIGHT ARROW
D7;2195;a164;UP DOWN ARROW
D8;2798;a196;HEAVY SOUTH EAST ARROW
D9;2799;a165;HEAVY RIGHTWARDS ARROW
DA;279A;a192;HEAVY NORTH EAST ARROW
DB;279B;a166;DRAFTING POINT RIGHTWARDS ARROW
DC;279C;a167;HEAVY ROUND-TIPPED RIGHTWARDS ARROW
DD;279D;a168;TRIANGLE-HEADED RIGHTWARDS ARROW
DE;279E;a169;HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
DF;279F;a170;DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
E0;27A0;a171;HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
E1;27A1;a172;BLACK RIGHTWARDS ARROW
E2;27A2;a173;THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
E3;27A3;a162;THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
E4;27A4;a174;BLACK RIGHTWARDS ARROWHEAD
E5;27A5;a175;HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
E6;27A6;a176;HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
E7;27A7;a177;SQUAT BLACK RIGHTWARDS ARROW
E8;27A8;a178;HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
E9;27A9;a179;RIGHT-SHADED WHITE RIGHTWARDS ARROW
EA;27AA;a193;LEFT-SHADED WHITE RIGHTWARDS ARROW
EB;27AB;a180;BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
EC;27AC;a199;FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
ED;27AD;a181;HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
EE;27AE;a200;HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
EF;27AF;a182;NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
F1;27B1;a201;NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
F2;27B2;a183;CIRCLED HEAVY WHITE RIGHTWARDS ARROW
F3;27B3;a184;WHITE-FEATHERED RIGHTWARDS ARROW
F4;27B4;a197;BLACK-FEATHERED SOUTH EAST ARROW
F5;27B5;a185;BLACK-FEATHERED RIGHTWARDS ARROW
F6;27B6;a194;BLACK-FEATHERED NORTH EAST ARROW
F7;27B7;a198;HEAVY BLACK-FEATHERED SOUTH EAST ARROW
F8;27B8;a186;HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
F9;27B9;a195;HEAVY BLACK-FEATHERED NORTH EAST ARROW
FA;27BA;a187;TEARDROP-BARBED RIGHTWARDS ARROW
FB;27BB;a188;HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
FC;27BC;a189;WEDGE-TAILED RIGHTWARDS ARROW
FD;27BD;a190;HEAVY WEDGE-TAILED RIGHTWARDS ARROW
FE;27BE;a191;OPEN-OUTLINED RIGHTWARDS ARROW
